No_of_crime,Location,Offences,Year
163,Marlborough Area,"Unlawful entry with intent/burglary, break and enter",1994
338,Marlborough Area,Theft and related offences,1994
170,Marlborough Area,"Fraud, deception and related offences",1994
212,Marlborough Area,Illicit drug offences,1994
46,Marlborough Area,Prohibited and regulated weapons and explosives offences,1994
136,Marlborough Area,Property damage and environmental pollution,1994
347,Marlborough Area,Public order offences,1994
62,Marlborough Area,"Offences against justice procedures, government security and government operations",1994
3,Marlborough Area,Miscellaneous offences,1994
2,Nelson Bays Area,Homicide and related offences,1994
393,Nelson Bays Area,Acts intended to cause injury,1994
24,Nelson Bays Area,Sexual assault and related offences,1994
19,Nelson Bays Area,Dangerous or negligent acts endangering persons,1994
91,Nelson Bays Area,"Abduction, harassment and other related offences against a person",1994
2,Nelson Bays Area,"Robbery, extortion and related offences",1994
184,Nelson Bays Area,"Unlawful entry with intent/burglary, break and enter",1994
898,Nelson Bays Area,Theft and related offences,1994
426,Nelson Bays Area,"Fraud, deception and related offences",1994
444,Nelson Bays Area,Illicit drug offences,1994
102,Nelson Bays Area,Prohibited and regulated weapons and explosives offences,1994
255,Nelson Bays Area,Property damage and environmental pollution,1994
493,Nelson Bays Area,Public order offences,1994
118,Nelson Bays Area,"Offences against justice procedures, government security and government operations",1994
10,Nelson Bays Area,Miscellaneous offences,1994
4,West Coast Area,Homicide and related offences,1994
188,West Coast Area,Acts intended to cause injury,1994
14,West Coast Area,Sexual assault and related offences,1994
27,West Coast Area,Dangerous or negligent acts endangering persons,1994
89,West Coast Area,"Abduction, harassment and other related offences against a person",1994
5,West Coast Area,"Robbery, extortion and related offences",1994
82,West Coast Area,"Unlawful entry with intent/burglary, break and enter",1994
334,West Coast Area,Theft and related offences,1994
109,West Coast Area,"Fraud, deception and related offences",1994
253,West Coast Area,Illicit drug offences,1994
68,West Coast Area,Prohibited and regulated weapons and explosives offences,1994
175,West Coast Area,Property damage and environmental pollution,1994
356,West Coast Area,Public order offences,1994
52,West Coast Area,"Offences against justice procedures, government security and government operations",1994
28,West Coast Area,Miscellaneous offences,1994
8,Canterbury District,Homicide and related offences,1994
2691,Canterbury District,Acts intended to cause injury,1994
201,Canterbury District,Sexual assault and related offences,1994
121,Canterbury District,Dangerous or negligent acts endangering persons,1994
735,Canterbury District,"Abduction, harassment and other related offences against a person",1994
195,Canterbury District,"Robbery, extortion and related offences",1994
1241,Canterbury District,"Unlawful entry with intent/burglary, break and enter",1994
3135,Canterbury District,"Fraud, deception and related offences",1994
2577,Canterbury District,Illicit drug offences,1994
603,Canterbury District,Prohibited and regulated weapons and explosives offences,1994
1941,Canterbury District,Property damage and environmental pollution,1994
3041,Canterbury District,Public order offences,1994
972,Canterbury District,"Offences against justice procedures, government security and government operations",1994
9,Otago Coastal Area,Homicide and related offences,1994
900,Otago Coastal Area,Acts intended to cause injury,1994
98,Otago Coastal Area,Sexual assault and related offences,1994
69,Otago Coastal Area,Dangerous or negligent acts endangering persons,1994
359,Otago Coastal Area,"Abduction, harassment and other related offences against a person",1994
24,Otago Coastal Area,"Robbery, extortion and related offences",1994
2176,Otago Coastal Area,Theft and related offences,1994
886,Otago Coastal Area,"Fraud, deception and related offences",1994
1203,Otago Coastal Area,Illicit drug offences,1994
205,Otago Coastal Area,Prohibited and regulated weapons and explosives offences,1994
689,Otago Coastal Area,Property damage and environmental pollution,1994
1739,Otago Coastal Area,Public order offences,1994
49,Otago Coastal Area,Miscellaneous offences,1994
0,Otago Lakes Central Area,Homicide and related offences,1994
158,Otago Lakes Central Area,Acts intended to cause injury,1994
6,Otago Lakes Central Area,Sexual assault and related offences,1994
8,Otago Lakes Central Area,Dangerous or negligent acts endangering persons,1994
44,Otago Lakes Central Area,"Abduction, harassment and other related offences against a person",1994
75,Otago Lakes Central Area,"Unlawful entry with intent/burglary, break and enter",1994
269,Otago Lakes Central Area,Theft and related offences,1994
141,Otago Lakes Central Area,"Fraud, deception and related offences",1994
156,Otago Lakes Central Area,Illicit drug offences,1994
32,Otago Lakes Central Area,Prohibited and regulated weapons and explosives offences,1994
122,Otago Lakes Central Area,Property damage and environmental pollution,1994
493,Otago Lakes Central Area,Public order offences,1994
35,Otago Lakes Central Area,"Offences against justice procedures, government security and government operations",1994
40,Otago Lakes Central Area,Miscellaneous offences,1994
1,Southland Area,Homicide and related offences,1994
655,Southland Area,Acts intended to cause injury,1994
46,Southland Area,Sexual assault and related offences,1994
49,Southland Area,Dangerous or negligent acts endangering persons,1994
150,Southland Area,"Abduction, harassment and other related offences against a person",1994
19,Southland Area,"Robbery, extortion and related offences",1994
449,Southland Area,"Unlawful entry with intent/burglary, break and enter",1994
1370,Southland Area,Theft and related offences,1994
656,Southland Area,"Fraud, deception and related offences",1994
388,Southland Area,Illicit drug offences,1994
201,Southland Area,Prohibited and regulated weapons and explosives offences,1994
541,Southland Area,Property damage and environmental pollution,1994
1156,Southland Area,Public order offences,1994
198,Southland Area,"Offences against justice procedures, government security and government operations",1994
40,Southland Area,Miscellaneous offences,1994
