No_of_crime,Location,Offences,Year
794,Auckland District,Prohibited and regulated weapons and explosives offences,2003
1413,Auckland District,Property damage and environmental pollution,2003
1873,Auckland District,"Offences against justice procedures, government security and government operations",2003
595,Auckland District,Miscellaneous offences,2003
26,Counties/Manukau District,Homicide and related offences,2003
2946,Counties/Manukau District,Acts intended to cause injury,2003
150,Counties/Manukau District,Sexual assault and related offences,2003
925,Counties/Manukau District,"Abduction, harassment and other related offences against a person",2003
156,Counties/Manukau District,"Robbery, extortion and related offences",2003
1101,Counties/Manukau District,"Unlawful entry with intent/burglary, break and enter",2003
628,Counties/Manukau District,"Fraud, deception and related offences",2003
1321,Counties/Manukau District,Illicit drug offences,2003
720,Counties/Manukau District,Prohibited and regulated weapons and explosives offences,2003
1689,Counties/Manukau District,Property damage and environmental pollution,2003
2702,Counties/Manukau District,Public order offences,2003
1762,Counties/Manukau District,"Offences against justice procedures, government security and government operations",2003
1087,Counties/Manukau District,Miscellaneous offences,2003
9,Waikato District,Homicide and related offences,2003
1900,Waikato District,Acts intended to cause injury,2003
129,Waikato District,Sexual assault and related offences,2003
33,Waikato District,Dangerous or negligent acts endangering persons,2003
489,Waikato District,"Abduction, harassment and other related offences against a person",2003
92,Waikato District,"Robbery, extortion and related offences",2003
1337,Waikato District,"Unlawful entry with intent/burglary, break and enter",2003
3109,Waikato District,Theft and related offences,2003
564,Waikato District,"Fraud, deception and related offences",2003
1940,Waikato District,Illicit drug offences,2003
478,Waikato District,Prohibited and regulated weapons and explosives offences,2003
2930,Waikato District,Public order offences,2003
1126,Waikato District,"Offences against justice procedures, government security and government operations",2003
343,Waikato District,Miscellaneous offences,2003
2525,Bay Of Plenty District,Acts intended to cause injury,2003
115,Bay Of Plenty District,Sexual assault and related offences,2003
65,Bay Of Plenty District,Dangerous or negligent acts endangering persons,2003
613,Bay Of Plenty District,"Abduction, harassment and other related offences against a person",2003
80,Bay Of Plenty District,"Robbery, extortion and related offences",2003
1724,Bay Of Plenty District,"Unlawful entry with intent/burglary, break and enter",2003
844,Bay Of Plenty District,"Fraud, deception and related offences",2003
2156,Bay Of Plenty District,Illicit drug offences,2003
505,Bay Of Plenty District,Prohibited and regulated weapons and explosives offences,2003
1522,Bay Of Plenty District,Property damage and environmental pollution,2003
1672,Bay Of Plenty District,"Offences against justice procedures, government security and government operations",2003
800,Bay Of Plenty District,Miscellaneous offences,2003
3,Hawkes Bay Area,Homicide and related offences,2003
1219,Hawkes Bay Area,Acts intended to cause injury,2003
36,Hawkes Bay Area,Dangerous or negligent acts endangering persons,2003
277,Hawkes Bay Area,"Abduction, harassment and other related offences against a person",2003
48,Hawkes Bay Area,"Robbery, extortion and related offences",2003
497,Hawkes Bay Area,"Unlawful entry with intent/burglary, break and enter",2003
379,Hawkes Bay Area,"Fraud, deception and related offences",2003
907,Hawkes Bay Area,Illicit drug offences,2003
239,Hawkes Bay Area,Prohibited and regulated weapons and explosives offences,2003
797,Hawkes Bay Area,Property damage and environmental pollution,2003
1681,Hawkes Bay Area,Public order offences,2003
153,Hawkes Bay Area,Miscellaneous offences,2003
8,Tairawhiti Area,Homicide and related offences,2003
543,Tairawhiti Area,Acts intended to cause injury,2003
20,Tairawhiti Area,Dangerous or negligent acts endangering persons,2003
161,Tairawhiti Area,"Abduction, harassment and other related offences against a person",2003
21,Tairawhiti Area,"Robbery, extortion and related offences",2003
272,Tairawhiti Area,"Unlawful entry with intent/burglary, break and enter",2003
622,Tairawhiti Area,Theft and related offences,2003
98,Tairawhiti Area,"Fraud, deception and related offences",2003
578,Tairawhiti Area,Illicit drug offences,2003
223,Tairawhiti Area,Prohibited and regulated weapons and explosives offences,2003
331,Tairawhiti Area,Property damage and environmental pollution,2003
895,Tairawhiti Area,Public order offences,2003
429,Tairawhiti Area,"Offences against justice procedures, government security and government operations",2003
32,Tairawhiti Area,Miscellaneous offences,2003
6,Manawatu Area,Homicide and related offences,2003
1135,Manawatu Area,Acts intended to cause injury,2003
66,Manawatu Area,Sexual assault and related offences,2003
33,Manawatu Area,Dangerous or negligent acts endangering persons,2003
336,Manawatu Area,"Abduction, harassment and other related offences against a person",2003
27,Manawatu Area,"Robbery, extortion and related offences",2003
666,Manawatu Area,"Unlawful entry with intent/burglary, break and enter",2003
2155,Manawatu Area,Theft and related offences,2003
334,Manawatu Area,"Fraud, deception and related offences",2003
790,Manawatu Area,Illicit drug offences,2003
963,Manawatu Area,Property damage and environmental pollution,2003
1091,Manawatu Area,Public order offences,2003
638,Manawatu Area,"Offences against justice procedures, government security and government operations",2003
25,Manawatu Area,Miscellaneous offences,2003
2,Taranaki Area,Homicide and related offences,2003
978,Taranaki Area,Acts intended to cause injury,2003
55,Taranaki Area,Dangerous or negligent acts endangering persons,2003
278,Taranaki Area,"Abduction, harassment and other related offences against a person",2003
11,Taranaki Area,"Robbery, extortion and related offences",2003
365,Taranaki Area,"Unlawful entry with intent/burglary, break and enter",2003
263,Taranaki Area,"Fraud, deception and related offences",2003
811,Taranaki Area,Illicit drug offences,2003
153,Taranaki Area,Prohibited and regulated weapons and explosives offences,2003
646,Taranaki Area,Property damage and environmental pollution,2003
531,Taranaki Area,"Offences against justice procedures, government security and government operations",2003
80,Taranaki Area,Miscellaneous offences,2003
6,Whanganui Area,Homicide and related offences,2003
650,Whanganui Area,Acts intended to cause injury,2003
9,Whanganui Area,Dangerous or negligent acts endangering persons,2003
170,Whanganui Area,"Abduction, harassment and other related offences against a person",2003
15,Whanganui Area,"Robbery, extortion and related offences",2003
330,Whanganui Area,"Unlawful entry with intent/burglary, break and enter",2003
929,Whanganui Area,Theft and related offences,2003
301,Whanganui Area,Illicit drug offences,2003
110,Whanganui Area,Prohibited and regulated weapons and explosives offences,2003
384,Whanganui Area,Property damage and environmental pollution,2003
323,Whanganui Area,"Offences against justice procedures, government security and government operations",2003
17,Whanganui Area,Miscellaneous offences,2003
12,Wellington District,Homicide and related offences,2003
3318,Wellington District,Acts intended to cause injury,2003
119,Wellington District,Sexual assault and related offences,2003
68,Wellington District,Dangerous or negligent acts endangering persons,2003
905,Wellington District,"Abduction, harassment and other related offences against a person",2003
106,Wellington District,"Robbery, extortion and related offences",2003
1652,Wellington District,"Unlawful entry with intent/burglary, break and enter",2003
1008,Wellington District,"Fraud, deception and related offences",2003
1889,Wellington District,Illicit drug offences,2003
653,Wellington District,Prohibited and regulated weapons and explosives offences,2003
2101,Wellington District,Property damage and environmental pollution,2003
3363,Wellington District,Public order offences,2003
2772,Wellington District,"Offences against justice procedures, government security and government operations",2003
118,Wellington District,Miscellaneous offences,2003
3,Tasman District,Homicide and related offences,2003
1192,Tasman District,Acts intended to cause injury,2003
84,Tasman District,Sexual assault and related offences,2003
39,Tasman District,Dangerous or negligent acts endangering persons,2003
502,Tasman District,"Abduction, harassment and other related offences against a person",2003
15,Tasman District,"Robbery, extortion and related offences",2003
1789,Tasman District,Theft and related offences,2003
490,Tasman District,"Fraud, deception and related offences",2003
1231,Tasman District,Illicit drug offences,2003
268,Tasman District,Prohibited and regulated weapons and explosives offences,2003
967,Tasman District,Property damage and environmental pollution,2003
1768,Tasman District,Public order offences,2003
64,Tasman District,Miscellaneous offences,2003
1,Marlborough Area,Homicide and related offences,2003
432,Marlborough Area,Acts intended to cause injury,2003
27,Marlborough Area,Sexual assault and related offences,2003
175,Marlborough Area,"Abduction, harassment and other related offences against a person",2003
4,Marlborough Area,"Robbery, extortion and related offences",2003
152,Marlborough Area,"Unlawful entry with intent/burglary, break and enter",2003
503,Marlborough Area,Theft and related offences,2003
414,Marlborough Area,Illicit drug offences,2003
110,Marlborough Area,Prohibited and regulated weapons and explosives offences,2003
329,Marlborough Area,Property damage and environmental pollution,2003
662,Marlborough Area,Public order offences,2003
31,Marlborough Area,Miscellaneous offences,2003
1,Nelson Bays Area,Homicide and related offences,2003
514,Nelson Bays Area,Acts intended to cause injury,2003
39,Nelson Bays Area,Sexual assault and related offences,2003
12,Nelson Bays Area,Dangerous or negligent acts endangering persons,2003
218,Nelson Bays Area,"Abduction, harassment and other related offences against a person",2003
6,Nelson Bays Area,"Robbery, extortion and related offences",2003
247,Nelson Bays Area,"Unlawful entry with intent/burglary, break and enter",2003
982,Nelson Bays Area,Theft and related offences,2003
598,Nelson Bays Area,Illicit drug offences,2003
115,Nelson Bays Area,Prohibited and regulated weapons and explosives offences,2003
409,Nelson Bays Area,Property damage and environmental pollution,2003
794,Nelson Bays Area,Public order offences,2003
417,Nelson Bays Area,"Offences against justice procedures, government security and government operations",2003
20,Nelson Bays Area,Miscellaneous offences,2003
1,West Coast Area,Homicide and related offences,2003
246,West Coast Area,Acts intended to cause injury,2003
18,West Coast Area,Sexual assault and related offences,2003
109,West Coast Area,"Abduction, harassment and other related offences against a person",2003
5,West Coast Area,"Robbery, extortion and related offences",2003
117,West Coast Area,"Unlawful entry with intent/burglary, break and enter",2003
304,West Coast Area,Theft and related offences,2003
109,West Coast Area,"Fraud, deception and related offences",2003
219,West Coast Area,Illicit drug offences,2003
43,West Coast Area,Prohibited and regulated weapons and explosives offences,2003
229,West Coast Area,Property damage and environmental pollution,2003
312,West Coast Area,Public order offences,2003
114,West Coast Area,"Offences against justice procedures, government security and government operations",2003
13,West Coast Area,Miscellaneous offences,2003
7,Canterbury District,Homicide and related offences,2003
2083,Canterbury District,Acts intended to cause injury,2003
78,Canterbury District,Dangerous or negligent acts endangering persons,2003
796,Canterbury District,"Abduction, harassment and other related offences against a person",2003
127,Canterbury District,"Robbery, extortion and related offences",2003
1224,Canterbury District,"Unlawful entry with intent/burglary, break and enter",2003
1012,Canterbury District,"Fraud, deception and related offences",2003
1742,Canterbury District,Illicit drug offences,2003
2082,Canterbury District,Property damage and environmental pollution,2003
3145,Canterbury District,Public order offences,2003
1408,Canterbury District,"Offences against justice procedures, government security and government operations",2003
64,Canterbury District,Miscellaneous offences,2003
1101,Otago Coastal Area,Acts intended to cause injury,2003
43,Otago Coastal Area,Sexual assault and related offences,2003
52,Otago Coastal Area,Dangerous or negligent acts endangering persons,2003
369,Otago Coastal Area,"Abduction, harassment and other related offences against a person",2003
332,Otago Coastal Area,"Unlawful entry with intent/burglary, break and enter",2003
1641,Otago Coastal Area,Theft and related offences,2003
316,Otago Coastal Area,"Fraud, deception and related offences",2003
1128,Otago Coastal Area,Illicit drug offences,2003
935,Otago Coastal Area,Property damage and environmental pollution,2003
1660,Otago Coastal Area,Public order offences,2003
479,Otago Coastal Area,"Offences against justice procedures, government security and government operations",2003
244,Otago Coastal Area,Miscellaneous offences,2003
1,Otago Lakes Central Area,Homicide and related offences,2003
234,Otago Lakes Central Area,Acts intended to cause injury,2003
8,Otago Lakes Central Area,Sexual assault and related offences,2003
20,Otago Lakes Central Area,Dangerous or negligent acts endangering persons,2003
78,Otago Lakes Central Area,"Abduction, harassment and other related offences against a person",2003
91,Otago Lakes Central Area,"Unlawful entry with intent/burglary, break and enter",2003
414,Otago Lakes Central Area,Theft and related offences,2003
130,Otago Lakes Central Area,"Fraud, deception and related offences",2003
389,Otago Lakes Central Area,Illicit drug offences,2003
50,Otago Lakes Central Area,Prohibited and regulated weapons and explosives offences,2003
240,Otago Lakes Central Area,Property damage and environmental pollution,2003
728,Otago Lakes Central Area,Public order offences,2003
114,Otago Lakes Central Area,"Offences against justice procedures, government security and government operations",2003
79,Otago Lakes Central Area,Miscellaneous offences,2003
685,Southland Area,Acts intended to cause injury,2003
35,Southland Area,Sexual assault and related offences,2003
54,Southland Area,Dangerous or negligent acts endangering persons,2003
207,Southland Area,"Abduction, harassment and other related offences against a person",2003
30,Southland Area,"Robbery, extortion and related offences",2003
329,Southland Area,"Unlawful entry with intent/burglary, break and enter",2003
2094,Southland Area,Theft and related offences,2003
291,Southland Area,"Fraud, deception and related offences",2003
558,Southland Area,Illicit drug offences,2003
176,Southland Area,Prohibited and regulated weapons and explosives offences,2003
1470,Southland Area,Property damage and environmental pollution,2003
1405,Southland Area,Public order offences,2003
454,Southland Area,"Offences against justice procedures, government security and government operations",2003
27,Southland Area,Miscellaneous offences,2003
0,Northland District,Homicide and related offences,2004
1188,Northland District,Acts intended to cause injury,2004
51,Northland District,Sexual assault and related offences,2004
20,Northland District,Dangerous or negligent acts endangering persons,2004
51,Northland District,"Robbery, extortion and related offences",2004
690,Northland District,"Unlawful entry with intent/burglary, break and enter",2004
272,Northland District,"Fraud, deception and related offences",2004
1015,Northland District,Illicit drug offences,2004
255,Northland District,Prohibited and regulated weapons and explosives offences,2004
629,Northland District,Property damage and environmental pollution,2004
873,Northland District,"Offences against justice procedures, government security and government operations",2004
19,Northland District,Miscellaneous offences,2004
7,Waitemata District,Homicide and related offences,2004
3006,Waitemata District,Acts intended to cause injury,2004
134,Waitemata District,Sexual assault and related offences,2004
59,Waitemata District,Dangerous or negligent acts endangering persons,2004
1181,Waitemata District,"Abduction, harassment and other related offences against a person",2004
109,Waitemata District,"Robbery, extortion and related offences",2004
1297,Waitemata District,"Unlawful entry with intent/burglary, break and enter",2004
1074,Waitemata District,"Fraud, deception and related offences",2004
2661,Waitemata District,Illicit drug offences,2004
721,Waitemata District,Prohibited and regulated weapons and explosives offences,2004
1724,Waitemata District,Property damage and environmental pollution,2004
3405,Waitemata District,Public order offences,2004
1750,Waitemata District,"Offences against justice procedures, government security and government operations",2004
59,Waitemata District,Miscellaneous offences,2004
4,Auckland District,Homicide and related offences,2004
2305,Auckland District,Acts intended to cause injury,2004
90,Auckland District,Sexual assault and related offences,2004
21,Auckland District,Dangerous or negligent acts endangering persons,2004
528,Auckland District,"Abduction, harassment and other related offences against a person",2004
206,Auckland District,"Robbery, extortion and related offences",2004
881,Auckland District,"Unlawful entry with intent/burglary, break and enter",2004
3227,Auckland District,Theft and related offences,2004
1275,Auckland District,"Fraud, deception and related offences",2004
2393,Auckland District,Illicit drug offences,2004
613,Auckland District,Prohibited and regulated weapons and explosives offences,2004
1193,Auckland District,Property damage and environmental pollution,2004
1687,Auckland District,"Offences against justice procedures, government security and government operations",2004
13,Counties/Manukau District,Homicide and related offences,2004
3084,Counties/Manukau District,Acts intended to cause injury,2004
174,Counties/Manukau District,Sexual assault and related offences,2004
118,Counties/Manukau District,Dangerous or negligent acts endangering persons,2004
825,Counties/Manukau District,"Abduction, harassment and other related offences against a person",2004
203,Counties/Manukau District,"Robbery, extortion and related offences",2004
1029,Counties/Manukau District,"Unlawful entry with intent/burglary, break and enter",2004
3303,Counties/Manukau District,Theft and related offences,2004
580,Counties/Manukau District,"Fraud, deception and related offences",2004
1211,Counties/Manukau District,Illicit drug offences,2004
685,Counties/Manukau District,Prohibited and regulated weapons and explosives offences,2004
1599,Counties/Manukau District,Property damage and environmental pollution,2004
2314,Counties/Manukau District,Public order offences,2004
2347,Counties/Manukau District,"Offences against justice procedures, government security and government operations",2004
134,Counties/Manukau District,Miscellaneous offences,2004
1,Waikato District,Homicide and related offences,2004
1811,Waikato District,Acts intended to cause injury,2004
106,Waikato District,Sexual assault and related offences,2004
435,Waikato District,"Abduction, harassment and other related offences against a person",2004
87,Waikato District,"Robbery, extortion and related offences",2004
1130,Waikato District,"Unlawful entry with intent/burglary, break and enter",2004
2967,Waikato District,Theft and related offences,2004
574,Waikato District,"Fraud, deception and related offences",2004
1507,Waikato District,Illicit drug offences,2004
385,Waikato District,Prohibited and regulated weapons and explosives offences,2004
1399,Waikato District,Property damage and environmental pollution,2004
3223,Waikato District,Public order offences,2004
1236,Waikato District,"Offences against justice procedures, government security and government operations",2004
141,Waikato District,Miscellaneous offences,2004
3,Bay Of Plenty District,Homicide and related offences,2004
2788,Bay Of Plenty District,Acts intended to cause injury,2004
150,Bay Of Plenty District,Sexual assault and related offences,2004
57,Bay Of Plenty District,Dangerous or negligent acts endangering persons,2004
631,Bay Of Plenty District,"Abduction, harassment and other related offences against a person",2004
87,Bay Of Plenty District,"Robbery, extortion and related offences",2004
556,Bay Of Plenty District,"Fraud, deception and related offences",2004
1964,Bay Of Plenty District,Illicit drug offences,2004
610,Bay Of Plenty District,Prohibited and regulated weapons and explosives offences,2004
1674,Bay Of Plenty District,Property damage and environmental pollution,2004
1583,Bay Of Plenty District,"Offences against justice procedures, government security and government operations",2004
116,Bay Of Plenty District,Miscellaneous offences,2004
8,Hawkes Bay Area,Homicide and related offences,2004
1215,Hawkes Bay Area,Acts intended to cause injury,2004
66,Hawkes Bay Area,Sexual assault and related offences,2004
50,Hawkes Bay Area,Dangerous or negligent acts endangering persons,2004
332,Hawkes Bay Area,"Abduction, harassment and other related offences against a person",2004
54,Hawkes Bay Area,"Robbery, extortion and related offences",2004
509,Hawkes Bay Area,"Unlawful entry with intent/burglary, break and enter",2004
1939,Hawkes Bay Area,Theft and related offences,2004
225,Hawkes Bay Area,"Fraud, deception and related offences",2004
832,Hawkes Bay Area,Illicit drug offences,2004
223,Hawkes Bay Area,Prohibited and regulated weapons and explosives offences,2004
648,Hawkes Bay Area,Property damage and environmental pollution,2004
1512,Hawkes Bay Area,Public order offences,2004
49,Hawkes Bay Area,Miscellaneous offences,2004
550,Tairawhiti Area,Acts intended to cause injury,2004
24,Tairawhiti Area,Sexual assault and related offences,2004
22,Tairawhiti Area,Dangerous or negligent acts endangering persons,2004
171,Tairawhiti Area,"Abduction, harassment and other related offences against a person",2004
16,Tairawhiti Area,"Robbery, extortion and related offences",2004
217,Tairawhiti Area,"Unlawful entry with intent/burglary, break and enter",2004
809,Tairawhiti Area,Theft and related offences,2004
85,Tairawhiti Area,"Fraud, deception and related offences",2004
492,Tairawhiti Area,Illicit drug offences,2004
158,Tairawhiti Area,Prohibited and regulated weapons and explosives offences,2004
342,Tairawhiti Area,Property damage and environmental pollution,2004
932,Tairawhiti Area,Public order offences,2004
311,Tairawhiti Area,"Offences against justice procedures, government security and government operations",2004
12,Tairawhiti Area,Miscellaneous offences,2004
5,Manawatu Area,Homicide and related offences,2004
1050,Manawatu Area,Acts intended to cause injury,2004
62,Manawatu Area,Sexual assault and related offences,2004
19,Manawatu Area,Dangerous or negligent acts endangering persons,2004
23,Manawatu Area,"Robbery, extortion and related offences",2004
658,Manawatu Area,"Unlawful entry with intent/burglary, break and enter",2004
1835,Manawatu Area,Theft and related offences,2004
208,Manawatu Area,"Fraud, deception and related offences",2004
565,Manawatu Area,Illicit drug offences,2004
226,Manawatu Area,Prohibited and regulated weapons and explosives offences,2004
651,Manawatu Area,Property damage and environmental pollution,2004
858,Manawatu Area,Public order offences,2004
611,Manawatu Area,"Offences against justice procedures, government security and government operations",2004
212,Manawatu Area,Miscellaneous offences,2004
3,Taranaki Area,Homicide and related offences,2004
863,Taranaki Area,Acts intended to cause injury,2004
32,Taranaki Area,Sexual assault and related offences,2004
19,Taranaki Area,Dangerous or negligent acts endangering persons,2004
236,Taranaki Area,"Abduction, harassment and other related offences against a person",2004
33,Taranaki Area,"Robbery, extortion and related offences",2004
377,Taranaki Area,"Unlawful entry with intent/burglary, break and enter",2004
537,Taranaki Area,Illicit drug offences,2004
136,Taranaki Area,Prohibited and regulated weapons and explosives offences,2004
645,Taranaki Area,Property damage and environmental pollution,2004
826,Taranaki Area,Public order offences,2004
13,Taranaki Area,Miscellaneous offences,2004
10,Whanganui Area,Homicide and related offences,2004
676,Whanganui Area,Acts intended to cause injury,2004
31,Whanganui Area,Sexual assault and related offences,2004
5,Whanganui Area,Dangerous or negligent acts endangering persons,2004
158,Whanganui Area,"Abduction, harassment and other related offences against a person",2004
12,Whanganui Area,"Robbery, extortion and related offences",2004
354,Whanganui Area,"Unlawful entry with intent/burglary, break and enter",2004
862,Whanganui Area,Theft and related offences,2004
74,Whanganui Area,"Fraud, deception and related offences",2004
225,Whanganui Area,Illicit drug offences,2004
113,Whanganui Area,Prohibited and regulated weapons and explosives offences,2004
359,Whanganui Area,Property damage and environmental pollution,2004
505,Whanganui Area,Public order offences,2004
261,Whanganui Area,"Offences against justice procedures, government security and government operations",2004
8,Wellington District,Homicide and related offences,2004
3297,Wellington District,Acts intended to cause injury,2004
139,Wellington District,Sexual assault and related offences,2004
58,Wellington District,Dangerous or negligent acts endangering persons,2004
900,Wellington District,"Abduction, harassment and other related offences against a person",2004
129,Wellington District,"Robbery, extortion and related offences",2004
1495,Wellington District,"Unlawful entry with intent/burglary, break and enter",2004
814,Wellington District,"Fraud, deception and related offences",2004
1926,Wellington District,Illicit drug offences,2004
626,Wellington District,Prohibited and regulated weapons and explosives offences,2004
2225,Wellington District,Property damage and environmental pollution,2004
3332,Wellington District,Public order offences,2004
2134,Wellington District,"Offences against justice procedures, government security and government operations",2004
181,Wellington District,Miscellaneous offences,2004
6,Tasman District,Homicide and related offences,2004
1315,Tasman District,Acts intended to cause injury,2004
93,Tasman District,Sexual assault and related offences,2004
49,Tasman District,Dangerous or negligent acts endangering persons,2004
533,Tasman District,"Abduction, harassment and other related offences against a person",2004
18,Tasman District,"Robbery, extortion and related offences",2004
1876,Tasman District,Theft and related offences,2004
440,Tasman District,"Fraud, deception and related offences",2004
1086,Tasman District,Illicit drug offences,2004
346,Tasman District,Prohibited and regulated weapons and explosives offences,2004
1119,Tasman District,Property damage and environmental pollution,2004
1884,Tasman District,Public order offences,2004
966,Tasman District,"Offences against justice procedures, government security and government operations",2004
81,Tasman District,Miscellaneous offences,2004
0,Marlborough Area,Homicide and related offences,2004
442,Marlborough Area,Acts intended to cause injury,2004
23,Marlborough Area,Sexual assault and related offences,2004
17,Marlborough Area,Dangerous or negligent acts endangering persons,2004
179,Marlborough Area,"Abduction, harassment and other related offences against a person",2004
3,Marlborough Area,"Robbery, extortion and related offences",2004
113,Marlborough Area,"Unlawful entry with intent/burglary, break and enter",2004
499,Marlborough Area,Theft and related offences,2004
137,Marlborough Area,"Fraud, deception and related offences",2004
318,Marlborough Area,Property damage and environmental pollution,2004
771,Marlborough Area,Public order offences,2004
386,Marlborough Area,"Offences against justice procedures, government security and government operations",2004
24,Marlborough Area,Miscellaneous offences,2004
673,Nelson Bays Area,Acts intended to cause injury,2004
62,Nelson Bays Area,Sexual assault and related offences,2004
27,Nelson Bays Area,Dangerous or negligent acts endangering persons,2004
274,Nelson Bays Area,"Abduction, harassment and other related offences against a person",2004
13,Nelson Bays Area,"Robbery, extortion and related offences",2004
296,Nelson Bays Area,"Unlawful entry with intent/burglary, break and enter",2004
1160,Nelson Bays Area,Theft and related offences,2004
266,Nelson Bays Area,"Fraud, deception and related offences",2004
523,Nelson Bays Area,Illicit drug offences,2004
157,Nelson Bays Area,Prohibited and regulated weapons and explosives offences,2004
580,Nelson Bays Area,Property damage and environmental pollution,2004
825,Nelson Bays Area,Public order offences,2004
458,Nelson Bays Area,"Offences against justice procedures, government security and government operations",2004
44,Nelson Bays Area,Miscellaneous offences,2004
2,West Coast Area,Homicide and related offences,2004
8,West Coast Area,Sexual assault and related offences,2004
5,West Coast Area,Dangerous or negligent acts endangering persons,2004
80,West Coast Area,"Abduction, harassment and other related offences against a person",2004
2,West Coast Area,"Robbery, extortion and related offences",2004
76,West Coast Area,"Unlawful entry with intent/burglary, break and enter",2004
217,West Coast Area,Theft and related offences,2004
37,West Coast Area,"Fraud, deception and related offences",2004
68,West Coast Area,Prohibited and regulated weapons and explosives offences,2004
221,West Coast Area,Property damage and environmental pollution,2004
288,West Coast Area,Public order offences,2004
122,West Coast Area,"Offences against justice procedures, government security and government operations",2004
13,West Coast Area,Miscellaneous offences,2004
15,Canterbury District,Homicide and related offences,2004
2389,Canterbury District,Acts intended to cause injury,2004
143,Canterbury District,Sexual assault and related offences,2004
79,Canterbury District,Dangerous or negligent acts endangering persons,2004
840,Canterbury District,"Abduction, harassment and other related offences against a person",2004
85,Canterbury District,"Robbery, extortion and related offences",2004
1325,Canterbury District,"Unlawful entry with intent/burglary, break and enter",2004
1035,Canterbury District,"Fraud, deception and related offences",2004
1720,Canterbury District,Illicit drug offences,2004
617,Canterbury District,Prohibited and regulated weapons and explosives offences,2004
2254,Canterbury District,Property damage and environmental pollution,2004
3184,Canterbury District,Public order offences,2004
1773,Canterbury District,"Offences against justice procedures, government security and government operations",2004
60,Canterbury District,Miscellaneous offences,2004
2,Otago Coastal Area,Homicide and related offences,2004
1226,Otago Coastal Area,Acts intended to cause injury,2004
49,Otago Coastal Area,Sexual assault and related offences,2004
39,Otago Coastal Area,Dangerous or negligent acts endangering persons,2004
419,Otago Coastal Area,"Abduction, harassment and other related offences against a person",2004
22,Otago Coastal Area,"Robbery, extortion and related offences",2004
369,Otago Coastal Area,"Unlawful entry with intent/burglary, break and enter",2004
1582,Otago Coastal Area,Theft and related offences,2004
357,Otago Coastal Area,"Fraud, deception and related offences",2004
840,Otago Coastal Area,Illicit drug offences,2004
166,Otago Coastal Area,Prohibited and regulated weapons and explosives offences,2004
925,Otago Coastal Area,Property damage and environmental pollution,2004
66,Otago Coastal Area,Miscellaneous offences,2004
0,Otago Lakes Central Area,Homicide and related offences,2004
311,Otago Lakes Central Area,Acts intended to cause injury,2004
13,Otago Lakes Central Area,Sexual assault and related offences,2004
94,Otago Lakes Central Area,"Abduction, harassment and other related offences against a person",2004
7,Otago Lakes Central Area,"Robbery, extortion and related offences",2004
97,Otago Lakes Central Area,"Unlawful entry with intent/burglary, break and enter",2004
305,Otago Lakes Central Area,Theft and related offences,2004
79,Otago Lakes Central Area,"Fraud, deception and related offences",2004
226,Otago Lakes Central Area,Illicit drug offences,2004
61,Otago Lakes Central Area,Prohibited and regulated weapons and explosives offences,2004
208,Otago Lakes Central Area,Property damage and environmental pollution,2004
673,Otago Lakes Central Area,Public order offences,2004
92,Otago Lakes Central Area,"Offences against justice procedures, government security and government operations",2004
58,Otago Lakes Central Area,Miscellaneous offences,2004
3,Southland Area,Homicide and related offences,2004
596,Southland Area,Acts intended to cause injury,2004
44,Southland Area,Sexual assault and related offences,2004
14,Southland Area,Dangerous or negligent acts endangering persons,2004
11,Southland Area,"Robbery, extortion and related offences",2004
358,Southland Area,"Unlawful entry with intent/burglary, break and enter",2004
1059,Southland Area,Theft and related offences,2004
243,Southland Area,"Fraud, deception and related offences",2004
443,Southland Area,Illicit drug offences,2004
120,Southland Area,Prohibited and regulated weapons and explosives offences,2004
633,Southland Area,Property damage and environmental pollution,2004
501,Southland Area,"Offences against justice procedures, government security and government operations",2004
21,Southland Area,Miscellaneous offences,2004
2,Northland District,Homicide and related offences,2005
1178,Northland District,Acts intended to cause injury,2005
47,Northland District,Sexual assault and related offences,2005
16,Northland District,Dangerous or negligent acts endangering persons,2005
384,Northland District,"Abduction, harassment and other related offences against a person",2005
64,Northland District,"Robbery, extortion and related offences",2005
722,Northland District,"Unlawful entry with intent/burglary, break and enter",2005
1519,Northland District,Theft and related offences,2005
200,Northland District,"Fraud, deception and related offences",2005
1233,Northland District,Illicit drug offences,2005
632,Northland District,Property damage and environmental pollution,2005
1189,Northland District,Public order offences,2005
592,Northland District,"Offences against justice procedures, government security and government operations",2005
18,Northland District,Miscellaneous offences,2005
5,Waitemata District,Homicide and related offences,2005
2946,Waitemata District,Acts intended to cause injury,2005
152,Waitemata District,Sexual assault and related offences,2005
56,Waitemata District,Dangerous or negligent acts endangering persons,2005
1056,Waitemata District,"Abduction, harassment and other related offences against a person",2005
155,Waitemata District,"Robbery, extortion and related offences",2005
1036,Waitemata District,"Unlawful entry with intent/burglary, break and enter",2005
777,Waitemata District,"Fraud, deception and related offences",2005
2229,Waitemata District,Illicit drug offences,2005
725,Waitemata District,Prohibited and regulated weapons and explosives offences,2005
1891,Waitemata District,Property damage and environmental pollution,2005
3019,Waitemata District,Public order offences,2005
1637,Waitemata District,"Offences against justice procedures, government security and government operations",2005
54,Waitemata District,Miscellaneous offences,2005
31,Auckland District,Homicide and related offences,2005
2497,Auckland District,Acts intended to cause injury,2005
22,Auckland District,Dangerous or negligent acts endangering persons,2005
